Member,Votes
Shibuya Nagisa,389
Kojima Karin,291
Kawakami Chihiro,264
Yamamoto Mikana,237
Jōnishi Rei,234
Hongō Yuzuha,220
Kameno Zion,194
Abe Wakana,159
Sakashita Mako,157
Shiotsuki Keito,146
Sakata Misaki,130
Shinzawa Nao,120
Kuroshima Sakura,115
Hara Karen,105
Asao Momoka,102
Wada Miyu,93
Katō Yūka,92
Ishida Yūmi,86
Maeda Reiko,74
Deguchi Yuina,72
Izumi Ayano,72
Sadano Haruka,69
Sumino Wakana,63
Kuroda Fūwa,61
Satsuki Aika,53
Hayakawa Yuna,47
Hirayama Mai,46
Sakurada Ayaka,45
Manabe Anju,45
Yoshino Misaki,45
Hori Shion,43
Tanaka Yukino,42
Uno Mizuki,37
Mizuta Shiori,36
Lee Siyeon,35
Matsuoka Sakura,31
Ike Honoka,30
Yamamoto Hikaru,27
Sakamoto Risa,25
Okamoto Rena,24
Nakano Mirai,23
Tatsumoto Yayoi,23
Fukuno Ami,19
Matsuno Mio,18
Matsumoto Mihina,17