,nvmea,otabe<3,mana<3,Aruda,dina,Arkasas,Moomin,pao,Peachie,marlene,DJ,riku,poppop_po,logic,Chao,PT,GeoFreak,Onieyez,udon,lemontea,JAR,NmbBaku,Mithena,ffox,Seb,ダイシナ,davidp,HotSauce,starcross,Ame,Risuke,Sano,zeroshiki,Razgriz,Batata,Jentsman,Devesh,Kuran,Matto,Platinam Flash,Slam Dunk
16,Sakata Misaki,     Sakashita Mako,Sakata Misaki,Abe Wakana,Kameno Zion,Jōnishi Rei,    Nishi Yuma,Yamamoto Mikana,Shinzawa Nao,Maeda Reiko,Ishida Yūmi,Ike Honoka,Yamamoto Mikana,Sakashita Mako,Kojima Karin,Sumino Wakana,Kawakami Chihiro, Kuroda Fūwa,Sumino Wakana,Yamamoto Mikana,Wada Miyu,Deguchi Yuina,Yamamoto Mikana,Hara Karen,Shiotsuki Keito,Shiotsuki Keito,Shibuya Nagisa,Sakata Misaki,    Abe Wakana,Jōnishi Rei,Jōnishi Rei, Abe Wakana,    Yamamoto Mikana, Jōnishi Rei,Fukuno Ami, Satsuki Aika,Shibuya Nagisa,    Kojima Karin,Wada Miyu,    Sakata Misaki,Sakata Misaki
15,    Shinzawa Nao,    Kameno Zion,Aobara Yuka,Aobara Waka,Yamamoto Mikana,    Kojima Karin,    Matsuoka Sakura,Kojima Karin,    Sumino Wakana,Yamamoto Mikana,    Satsuki Aika,    Fukuno Ami,    Kojima Karin,Kojima Karin,Shibuya Nagisa,Kuroshima Sakura,    Tatsumoto Yayoi, Shiotsuki Keito,Satsuki Aika,Wada Miyu,Sakurada Ayaka, Hayakawa Yuna,Tatsumoto Yayoi,Maeda Reiko,    Yamamoto Mikana,Shinzawa Nao,Kawakami Chihiro,Shinzawa Nao,    Ike Honoka,Nihei Manami,Kawakami Chihiro, Yamamoto Mikana,    Shibuya Nagisa, Izumi Ayano,Shiotsuki Keito, Ike Honoka,Kawakami Chihiro,    Kawakami Chihiro,Yoshino Misaki,    Wada Miyu,Tatsumoto Yayoi
14,    Yoshino Misaki,    Tatsumoto Yayoi,Yamamoto Mikana,Yoshino Misaki,Kawakami Chihiro,    Shibuya Nagisa,    Shibuya Nagisa,Jōnishi Rei,    Jōnishi Rei,Shibuya Nagisa,    Sakashita Mako,    Satsuki Aika,    Satsuki Aika,Yamamoto Mikana,Yamamoto Mikana,Nihei Manami,    Deguchi Yuina, Sumino Wakana,Sakurada Ayaka,Tanaka Yukino,Sakata Misaki, Abe Wakana,Kameno Zion,Shibuya Nagisa,    Yoshino Misaki,Deguchi Yuina,Abe Wakana,Jōnishi Rei,    Manabe Anju,Yamamoto Mikana,Sumino Wakana, Sakata Misaki,    Sakashita Mako, Sumino Wakana,Sakata Misaki, Sumino Wakana,Kojima Karin,    Sakata Misaki,Nishi Yuma,Jōnishi Rei,Abe Wakana
13,    Ikeda Tenna,    Sakata Misaki,Tatsumoto Yayoi,Itagaki Koyori,Maeda Reiko,    Satsuki Aika,    Jōnishi Rei,Shibuya Nagisa,    Kuroda Fūwa,Shiotsuki Keito,    Shinzawa Nao,    Yoshino Misaki,    Shibuya Nagisa,Shibuya Nagisa,Kawakami Chihiro,Kameno Zion,    Matsuno Mio, Deguchi Yuina,Sakashita Mako,Satsuki Aika,Sakashita Mako, Maeda Reiko,Nihei Manami,Jōnishi Rei,    Kameno Zion,Nihei Manami,Deguchi Yuina,Sumino Wakana,    Yoshino Misaki,Aobara Yuka,Wada Miyu, Tatsumoto Yayoi,    Sakurada Ayaka, Yoshino Misaki,Tanaka Yukino, Tanaka Misora,Mizuta Shiori,    Ishida Yūmi,Hara Karen,    Ishida Yūmi,Sakamoto Risa
12,    Manabe Anju,    Haga Rei,Ikeda Tenna,Jōnishi Rei,Izumi Ayano,    Yoshino Misaki,    Kawakami Chihiro,Sumino Wakana,    Shibuya Nagisa,Deguchi Yuina,    Yoshino Misaki,    Sakashita Mako,    Maeda Reiko,Satsuki Aika,Jōnishi Rei,Haga Rei,    Izumi Ayano, Sakata Misaki,Sakamoto Risa,Sakashita Mako,Yamamoto Mikana, Sakamoto Risa,Shiotsuki Keito,Tanaka Yukino,    Sakashita Mako,Sakata Misaki,Yoshino Misaki,Sakashita Mako,    Kameno Zion,Sakashita Mako,Shiotsuki Keito, Yoshino Misaki,    Kameno Zion, Ishida Yūmi,Tatsumoto Yayoi, Manabe Anju,Sakashita Mako,    Shibuya Nagisa,Abe Wakana,    Kawakami Chihiro,Deguchi Yuina
11,    Sumino Wakana,    Yoshino Misaki,Yoshino Misaki,Aobara Yuka,Yamamoto Hikaru,    Sumino Wakana,    Hayakawa Yuna,Sakata Misaki,    Aobara Yuka,Kawakami Chihiro,    Haga Rei,    Sakamoto Risa,    Abe Wakana,Sakurada Ayaka,Yoshino Misaki,Maeda Reiko,    Maeda Reiko, Kuroshima Sakura,Kameno Zion,Kojima Karin,Izumi Ayano, Shiotsuki Keito,Tanaka Yukino,Kawakami Chihiro,    Maeda Reiko,Tatsumoto Yayoi,Sadano Haruka,Tatsumoto Yayoi,    Nihei Manami,Asao Momoka,Abe Wakana, Tanaka Yukino,    Tanaka Yukino, Tatsumoto Yayoi,Yamamoto Mikana, Tatsumoto Yayoi,Hara Karen,    Sakashita Mako,Deguchi Yuina,    Sumino Wakana,Kameno Zion
10,    Yoshimi Ayane,    Kuroshima Sakura,Shiotsuki Keito,Yamamoto Mikana,Abe Wakana,    Matsuno Mio,    Kojima Karin,Tatsumoto Yayoi,    Sakamoto Risa,Jōnishi Rei,    Kojima Karin,    Sakata Misaki,    Ikeda Tenna,Sumino Wakana,Abe Wakana,Sakashita Mako,    Sakurada Ayaka, Sadano Haruka,Deguchi Yuina,Shibuya Nagisa,Yoshino Misaki, Satsuki Aika,Hara Karen,Yoshino Misaki,    Satsuki Aika,Tanaka Yukino,Satsuki Aika,Manabe Anju,    Yamamoto Mikana,Abe Wakana,Satsuki Aika, Kameno Zion,    Shinzawa Nao, Nishijima Rio,Hara Karen, Wada Miyu,Jōnishi Rei,    Wada Miyu,Hayakawa Yuna,    Kameno Zion,Hara Karen
9,    Tanaka Yukino,    Shiotsuki Keito,Sakashita Mako,Tanaka Yukino,Kojima Karin,    Kinugasa Ayami,    Abe Wakana,Shinzawa Nao,    Shiotsuki Keito,Ishida Yūmi,    Sakata Misaki,    Tatsumoto Yayoi,    Sakashita Mako,Matsuoka Sakura,Sakurada Ayaka,Tanaka Yukino,    Manabe Anju, Shinzawa Nao,Asao Momoka,Matsuoka Sakura,Sakamoto Risa, Sumino Wakana,Satsuki Aika,Yamamoto Mikana,    Sakata Misaki,Izumi Ayano,Mizuta Shiori,Shibuya Nagisa,    Satsuki Aika,Kawakami Chihiro,Sakashita Mako, Satsuki Aika,    Satsuki Aika, Uno Mizuki,Izumi Ayano, Sakata Misaki,Sumino Wakana,    Jōnishi Rei,Yamamoto Hikaru,    Kojima Karin,Shiotsuki Keito
8,    Wada Miyu,    Sumino Wakana,Haga Rei,Nishi Yuma,Shiotsuki Keito,    Sakashita Mako,    Hori Shion,Shiotsuki Keito,    Tatsumoto Yayoi,Kuroda Fūwa,    Hara Karen,    Sumino Wakana,    Hara Karen,Sakata Misaki,Shiotsuki Keito,Kuroda Fūwa,    Fukuno Ami, Tanaka Yukino,Itagaki Koyori,Sakurada Ayaka,Matsumoto Mihina, Manabe Anju,Kuroda Fūwa,Shiotsuki Keito,    Manabe Anju,Haga Rei,Sakashita Mako,Sadano Haruka,    Shibuya Nagisa,Izumi Ayano,Tatsumoto Yayoi, Maeda Reiko,    Kojima Karin, Sakurada Ayaka,Funahashi Reina, Sakurada Ayaka,Sakata Misaki,    Yamamoto Mikana,Sakurada Ayaka,    Hayakawa Yuna,Jōnishi Rei
7,   Ike Honoka,   Maeda Reiko,Abe Wakana,Satsuki Aika,Furukawa Yukino,    Hara Karen,    Asao Momoka,Wada Miyu,    Hara Karen,Kojima Karin,    Kawakami Chihiro,    Matsuoka Sakura,    Mizuta Shiori,Jōnishi Rei,Sakashita Mako,Tanaka Misora,    Matsuoka Sakura, Yoshino Misaki,Ikeda Tenna,Itagaki Koyori,Tanaka Yukino, Wada Miyu,Abe Wakana,Kojima Karin,    Tanaka Yukino,Aobara Yuka,Shiotsuki Keito,Yamamoto Mikana,    Jōnishi Rei,Shinzawa Nao,Sakata Misaki, Izumi Ayano,    Sakata Misaki, Satsuki Aika,Miyamoto Ami, Itagaki Koyori,Tatsumoto Yayoi,    Hara Karen,Ikeda Tenna,    Shinzawa Nao,Yamamoto Mikana
6,    Hara Karen,    Yamamoto Hikaru,Manabe Anju,Funahashi Reina,Satsuki Aika,    Shiotsuki Keito,    Sakamoto Risa,Manabe Anju,    Matsumoto Mihina,Kameno Zion,    Shiotsuki Keito,    Sakurada Ayaka,    Tatsumoto Yayoi,Shiotsuki Keito,Maeda Reiko,Izumi Ayano,    Sadano Haruka, Izumi Ayano,Tatsumoto Yayoi,Sadano Haruka,Tatsumoto Yayoi, Sakata Misaki,Yoshino Misaki,Sakamoto Risa,    Shinzawa Nao,Sakashita Mako,Sakata Misaki,Kameno Zion,    Maeda Reiko,Sakurada Ayaka,Tanaka Yukino, Sumino Wakana,    Asao Momoka, Matsuno Mio,Yoshimi Ayane, Sakashita Mako,Shinzawa Nao,    Abe Wakana,Yoshimi Ayane,   Hara Karen,Aobara Yuka
5,    Sakashita Mako,    Tanaka Yukino,Tanaka Yukino,Kameno Zion,Sakashita Mako,    Maeda Reiko,    Haga Rei,Hara Karen,    Maeda Reiko,Wada Miyu,    Izumi Ayano,    Nishi Yuma,    Sakurada Ayaka,Shinzawa Nao,Wada Miyu,Yoshino Misaki,    Yamamoto Mikana, Kameno Zion,Nishi Yuma,Furukawa Yukino,Deguchi Yuina, Sadano Haruka,Ikeda Tenna,Abe Wakana,    Jōnishi Rei,Sakamoto Risa,Hayakawa Yuna,Wada Miyu,    Tatsumoto Yayoi,Wada Miyu,Hara Karen, Jōnishi Rei,    Haga Rei, Itagaki Koyori,Aobara Yuka, Nihei Manami,Ikeda Tenna,    Sadano Haruka,Sakamoto Risa,   Shiotsuki Keito,Sakashita Mako
4,    Sakamoto Risa,    Fukuno Ami,Kojima Karin,Tatsumoto Yayoi,Miyamoto Ami,    Shinzawa Nao,    Tanaka Yukino,Haga Rei,    Asao Momoka,Manabe Anju,    Sakamoto Risa,    Matsuno Mio,    Shiotsuki Keito,Kameno Zion,Sumino Wakana,Sakamoto Risa,    Tanaka Yukino, Satsuki Aika,Haga Rei,Sakamoto Risa,Maeda Reiko, Hara Karen,Itagaki Koyori,Yamamoto Hikaru,    Hayakawa Yuna,Jōnishi Rei,Hara Karen,Satsuki Aika,    Tanaka Yukino,Satsuki Aika,Manabe Anju, Sakashita Mako,    Abe Wakana, Ikeda Tenna,Kojima Karin, Furukawa Yukino,Fukuno Ami,    Maeda Reiko,Manabe Anju,   Maeda Reiko,Tanaka Yukino
3,    Aobara Yuka,    Furukawa Yukino,Ike Honoka,Maeda Reiko,Deguchi Yuina,    Abe Wakana,    Nishida Honoka,Yoshimi Ayane,    Abe Wakana,Sadano Haruka,    Sakurada Ayaka,    Hayakawa Yuna,    Sumino Wakana,Yoshino Misaki,Hara Karen,Tatsumoto Yayoi,    Sakata Misaki, Yamamoto Mikana,Jōnishi Rei,Jōnishi Rei,Kojima Karin, Kawakami Chihiro,Maeda Reiko,Sakata Misaki,    Abe Wakana,Maeda Reiko,Hori Shion,Izumi Ayano,    Wada Miyu,Matsuno Mio,Shinzawa Nao, Wada Miyu,    Sakamoto Risa, Matsuoka Sakura,Sumino Wakana, Hirayama Mai,Nihei Manami,    Shiotsuki Keito,Sumino Wakana,   Sakashita Mako,Miyamoto Ami
2,    Funahashi Reina,    Tanaka Misora,Nishi Yuma,Nishijima Rio,Mizuta Shiori,    Nishi Yuma,    Yamamoto Mikana,Sakashita Mako,    Wada Miyu,Sumino Wakana,    Matsumoto Mihina,    Manabe Anju,    Jōnishi Rei,Abe Wakana,Tanaka Yukino,Mizuta Shiori,    Sumino Wakana, Sakamoto Reio,Hara Karen,Kinugasa Ayami,Aobara Yuka, Tanaka Yukino,Shinzawa Nao,Sakurada Ayaka,    Sumino Wakana,Satsuki Aika,Ikeda Tenna,Mizuta Shiori,    Sumino Wakana,Yoshino Misaki,Mizuta Shiori, Manabe Anju,    Yamamoto Hikaru, Wada Miyu,Sakashita Mako, Shiotsuki Keito,Yamamoto Mikana,    Shinzawa Nao,Nishijima Rio,   Sakurada Ayaka,Yoshimi Ayane
1,    Haga Rei,    Ishida Yūmi,Funahashi Reina,Kojima Karin,Ishida Yūmi,    Ishida Yūmi,    Kameno Zion,Satsuki Aika,    Manabe Anju,Abe Wakana,    Wada Miyu,    Kameno Zion,    Tanaka Yukino,Sakamoto Risa,Sakata Misaki,Shibutani Sayuki,    Abe Wakana, Yamamoto Hikaru,Yamamoto Mikana,Yoshino Misaki,Abe Wakana, Jōnishi Rei,Sadano Haruka,Sakashita Mako,    Hara Karen,Kameno Zion,Aobara Yuka,Hara Karen,    Kojima Karin,Ike Honoka,Yamamoto Mikana, Matsumoto Mihina,    Kinugasa Ayami, Manabe Anju,Shinzawa Nao, Hara Karen,Yoshino Misaki,    Sumino Wakana,Shibutani Sayuki,   Satsuki Aika,Ikeda Tenna