,nvmea,ahu,logic,riku,sleeves,Seb,oblivious247,rainnous,icecream,Sano,Ombre,aruda,arkasas,akniteu,geoff,Matt
16,Hongo Yuzuha,Umeyama Cocona,Kojima Karin,Yamasaki Amiru,Yamamoto Mikana,Shiotsuki Keito,Kojima Karin,Kato Yuuka,Hongo Yuzuha,Umeyama Cocona,Yokono Sumire,Abe Wakana,Shibuya Nagisa,Umeyama Cocona,Kawakami Chihiro,Ishizuka Akari
15,Hara Karen,Shibuya Nagisa,Shiotsuki Keito,Nakano Mirai,Umeyama Cocona,Yamamoto Mikana,Shibuya Nagisa,Shibuya Nagisa,Deguchi Yuina,Shibuya Nagisa,Umeyama Cocona,Shobu Marin,Kojima Karin,Kato Yuuka,Kawano Nanaho,Hara Karen
14,Shobu Marin,Yamamoto Mikana,Yamamoto Mikana,Sumino Wakana,Kuroda Fuuwa,Kato Yuuka,Umeyama Cocona,Shiotsuki Keito,Shibuya Nagisa,Abe Wakana,Abe Wakana,Jonishi Rei,Jonishi Rei,Yoshino Misaki,Ishida Yuumi,Yoshino Misaki
13,Okamoto Rena,Jonishi Rei,Umeyama Cocona,Hongo Yuzuha,Nakano Mirai,Yoshino Misaki,Minami Haasa,Hara Karen,Jonishi Rei,Minami Haasa,Jonishi Rei,Minami Haasa,Satsuki Aika,Yasuda Momone,Deguchi Yuina,Kuroda Fuuwa
12,Yasuda Momone,Kojima Karin,Jonishi Rei,Umeyama Cocona,Izumi Ayano,Shobu Marin,Yokono Sumire,Izumi Ayano,Hara Karen,Kojima Karin,Yamamoto Mikana,Yamamoto Mikana,Yoshino Misaki,Abe Wakana,Yasuda Momone,Abe Wakana
11,Nakano Mirai,Hongo Yuzuha,Shibuya Nagisa,Shibuya Nagisa,Abe Wakana,Hongo Yuzuha,Hara Karen,Minami Haasa,Hirayama Mai,Shiotsuki Keito,Hara Karen,Kawano Nanaho,Yasuda Momone,Satsuki Aika,Abe Wakana,Shibuya Nagisa
10,Namba Hinata,Satsuki Aika,Hara Karen,Shiotsuki Keito,Shiotsuki Keito,Maeda Reiko,Jonishi Rei,Sadano Haruka,Satsuki Aika,Izumi Ayano,Shibuya Nagisa,Kuroda Fuuwa,Shiotsuki Keito,Shiotsuki Keito,Namba Hinata,Umeyama Cocona
9,Ishida Yuumi,Sumino Wakana,Abe Wakana,Abe Wakana,Namba Hinata,Shibuya Nagisa,Yamamoto Mikana,Kojima Karin,Kato Yuuka,Hongo Yuzuha,Kato Yuuka,Shibuya Nagisa,Yamamoto Mikana,Hongo Yuzuha,Kato Yuuka,Deguchi Yuina
8,Shibuya Nagisa,Yamasaki Amiru,Satsuki Aika,Namba Hinata,Satsuki Aika,Shinzawa Nao,Ishizuka Akari,Kitamura Mana,Namba Hinata,Kato Yuuka,Shimizu Rika,Umeyama Cocona,Umeyama Cocona,Shibuya Nagisa,Yamasaki Amiru,Shobu Marin
7,Manabe Anju,Namba Hinata,Minami Haasa,Kuroda Fuuwa,Yoshino Misaki,Abe Wakana,Shimizu Rika,Yokono Sumire,Yamasaki Amiru,Kawano Nanaho,Shinzawa Nao,Hongo Yuzuha,Hara Karen,Kuroda Fuuwa,Hongo Yuzuha,Hayakawa Yuna
6,Sumino Wakana,Shimizu Rika,Kato Yuuka,Satsuki Aika,Kameno Zion,Satsuki Aika,Kato Yuuka,Shobu Marin,Shiotsuki Keito,Yamamoto Mikana,Kojima Karin,Yamasaki Amiru,Ishizuka Akari,Jonishi Rei,Minami Haasa,Jonishi Rei
5,Yoshino Misaki,Minami Haasa,Yoshino Misaki,Hara Karen,Shinzawa Nao,Nakagawa Mion,Kawakami Chihiro,Deguchi Yuina,Asao Momoka,Jonishi Rei,Shiotsuki Keito,Yoshino Misaki,Shinzawa Nao,Kameno Zion,Shibuya Nagisa,Kojima Karin
4,Kuroda Fuuwa,Hara Karen,Kuroda Fuuwa,Kojima Karin,Sumino Wakana,Jonishi Rei,Ishida Yuumi,Maeda Reiko,Sadano Haruka,Yasuda Momone,Wada Miyu,Kawakami Chihiro,Shimizu Rika,Yamamoto Mikana,Nakano Mirai,Minami Haasa
3,Jonishi Rei,Kuroda Fuuwa,Sumino Wakana,Yasuda Momone,Minami Haasa,Yasuda Momone,Yamasaki Amiru,Abe Wakana,Yamamoto Mikana,Shobu Marin,Shobu Marin,Asao Momoka,Sadano Haruka,Hayakawa Yuna,Yamamoto Mikana,Nakano Mirai
2,Shiotsuki Keito,Abe Wakana,Yokono Sumire,Jonishi Rei,Ishizuka Akari,Yokono Sumire,Shiotsuki Keito,Kuroda Fuuwa,Ishida Yuumi,Yamasaki Amiru,Sadano Haruka,Kameno Zion,Kawakami Chihiro,Asao Momoka,Umeyama Cocona,Maeda Reiko
1,Satsuki Aika,Yokono Sumire,Ishizuka Akari,Izumi Ayano,Yamasaki Amiru,Kameno Zion,Sumino Wakana,Shinzawa Nao,Kawano Nanaho,Ishizuka Akari,Satsuki Aika,Izumi Ayano,Sugiura Kotone,Namba Hinata,Izumi Ayano,Yamamoto Mikana